"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 26 05:57:59 UTC 2024","Fri Apr 26 05:57:59 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Apr 26 06:44:39 UTC 2024","Fri Apr 26 06:44:51 UTC 2024","11672","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Apr 26 06:44:28 UTC 2024","Fri Apr 26 06:44:38 UTC 2024","9434","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Apr 26 06:00:06 UTC 2024","Fri Apr 26 06:00:22 UTC 2024","15072","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Apr 26 06:44:25 UTC 2024","Fri Apr 26 06:44:28 UTC 2024","3693","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"failed","Fri Apr 26 06:45:01 UTC 2024","Fri Apr 26 06:47:33 UTC 2024","151663","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Apr 26 06:50:32 UTC 2024","Fri Apr 26 06:54:42 UTC 2024","250095","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Apr 26 06:00:22 UTC 2024","Fri Apr 26 06:00:23 UTC 2024","1664","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Apr 26 06:57:32 UTC 2024","Fri Apr 26 06:57:35 UTC 2024","2365","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Fri Apr 26 05:57:59 UTC 2024","Fri Apr 26 05:57:59 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Fri Apr 26 08:28:49 UTC 2024","Fri Apr 26 08:28:49 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
